"","texto","muyNeg","Neg","muyPos","Pos","Valor","Sentimiento"
"184","  El  feminismo no es una moda   El  feminismo es un compromiso   De nada ","0","0","0","0",0,"Neutro"
"185","  La estupidez del  feminismo","0","0","0","0",0,"Neutro"
"186","    Que la fuerza del  Feminismo nos acompañe                 Ámate  Ama   Cambiar ese orden sí que altera el valor     ","0","0","3","0",2.14285714285714,"Muy Positivo"
"187","  Más de   mujeres de  Hollywood lanzaron plan contra el  acososexual   feminismo  MeToo  feminismo  abusosexual","0","1","0","0",-0.5,"Negativo"
"188","  El  feminismo no es una moda   El  feminismo es un compromiso   De nada ","0","0","0","0",0,"Neutro"
"189","  El  feminismo no es una moda   El  feminismo es un compromiso   De nada ","0","0","0","0",0,"Neutro"
"190","  Más de   mujeres de  Hollywood lanzaron plan contra el  acososexual   feminismo  MeToo  feminismo  abusosexual","0","1","0","0",-0.5,"Negativo"
"191","Islandia  primer país con igualdad salarial entre hombres y  mujeres  feminismo  mevistocomomedalagana","0","0","0","0",0,"Neutro"
"192","RT LSeptico  La estupidez del  feminismo","0","0","0","0",0,"Neutro"
"193","  Hablando de  Feminismo me acabo de dar un atracón con el docu de   Bombshell La Historia de Hedy L ","0","0","0","0",0,"Neutro"
"194","  Interesantísima entrevista realizada a la filósofa   sobre  feminismo  Ridículo  por otra parte  que   ","0","0","0","0",0,"Neutro"
"195","  Más de   mujeres de  Hollywood lanzaron plan contra el  acososexual   feminismo  MeToo  feminismo  abusosexual","0","1","0","0",-0.5,"Negativo"
"196","  El  feminismo como yo lo entiendo  Leído gracias a","0","0","2","0",1.66666666666667,"Muy Positivo"
"197","Hablando de  Feminismo me acabo de dar un atracón con el docu de   Bombshell La Historia de He ","0","0","0","0",0,"Neutro"
"198","Louis Aragon dijo  El devenir del hombre es la mujer  ella es el color de su alma  ella es su susurro y su estruend ","0","0","0","0",0,"Neutro"
"199","  La estupidez del  feminismo","0","0","0","0",0,"Neutro"
"200","  El  feminismo no es una moda   El  feminismo es un compromiso   De nada ","0","0","0","0",0,"Neutro"
"201","Mis protagonistas y secundarias preferidas de Empiezo el año en La lente violeta hacie ","0","0","0","0",0,"Neutro"
"202","  Se va el   y con él un año marcado por el  feminismo  En el  nos toca consolidar la cuarta ola feminista y aprovec ","0","0","0","0",0,"Neutro"
"203","  La estupidez del  feminismo","0","0","0","0",0,"Neutro"
"204"," El último Verde Niña Magazine ya está publicado  ecologismo  feminismo  energíasrenovables  bienestar  revolución","0","0","0","0",0,"Neutro"
"205","  Más de   mujeres de  Hollywood lanzaron plan contra el  acososexual   feminismo  MeToo  feminismo  abusosexual","0","1","0","0",-0.5,"Negativo"
"206","El discurso feminista se cuela en las Campanadas violenciamachista ","0","0","0","0",0,"Neutro"
"207","    Que la fuerza del  Feminismo nos acompañe                 Ámate  Ama   Cambiar ese orden sí que altera el valor     ","0","0","3","0",2.14285714285714,"Muy Positivo"
"208","  El  feminismo como yo lo entiendo  Leído gracias a","0","0","2","0",1.66666666666667,"Muy Positivo"
"209","  Hombres que no saben distinguir entre  machismo y  feminismo y te dicen que  te lo hagas ver                                      ","0","0","0","0",0,"Neutro"
"210","  Más de   mujeres de  Hollywood lanzaron plan contra el  acososexual   feminismo  MeToo  feminismo  abusosexual","0","1","0","0",-0.5,"Negativo"
"211","  Más de   mujeres de  Hollywood lanzaron plan contra el  acososexual   feminismo  MeToo  feminismo  abusosexual","0","1","0","0",-0.5,"Negativo"
"212","  Más de   mujeres de  Hollywood lanzaron plan contra el  acososexual   feminismo  MeToo  feminismo  abusosexual","0","1","0","0",-0.5,"Negativo"
